amplicon	coords	description
72	21,676-21,889	S1-NTD; 69/70del site
73	21,905-22,113	S1-NTD
74	22,248-22,428	S1-NTD; XBB dropout
75	22,475-22,677	Begin receptor-binding domain
76	22,786-22,974	Receptor-binding motif
77	23,121-23,246	End receptor-binding motif/domain
78	23,328-23,575	
79	23,612-23,876	Furin cleavage site; putative T-cell superantigen
80	23,928-24,194	Host TMPRSS2/CTSL cleavage site
81	24,234-24,448	
82	24,546-24,772	
83	24,815-25,076	
84	25,123-25,353	ER export motif, membrane localizing domain binding
