name	product	name_or_product	type	start	end	length	id	id_return	start_aa	end_aa	alias	parent_id	parent	function	inference	exception	note	gene	dbxref	protein_id	gbkey	locus_tag	gene_biotype
genome		genome	region	1	29903	29903	NC_045512.2:1..29903	genome											taxon:2697049		Src		
			five_prime_UTR	1	265	265	id-NC_045512.2:1..265	five_prime_UTR				None									5'UTR		
ORF1ab		ORF1ab	gene	266	21555	21290	gene-GU280_gp01	ORF1ab				None						ORF1ab	GeneID:43740578		Gene	GU280_gp01	protein_coding
YP_009724389.1	ORF1ab polyprotein	ORF1ab polyprotein	CDS	266	21555	21290	cds-YP_009724389.1	ORF1ab polyprotein				gene-GU280_gp01	ORF1ab			ribosomal slippage	pp1ab; translated by -1 ribosomal frameshift	ORF1ab	"Genbank:YP_009724389.1,GeneID:43740578"	YP_009724389.1	CDS		
	leader protein	nsp1	mature_protein_region_of_CDS	266	805	540	id-YP_009724389.1:1..180	nsp1	1	180		cds-YP_009724389.1	ORF1ab polyprotein				nsp1; produced by both pp1a and pp1ab			YP_009725297.1	Prot		
YP_009725295.1	ORF1a polyprotein	ORF1a polyprotein	CDS	266	13483	13218	cds-YP_009725295.1	ORF1a polyprotein				gene-GU280_gp01	ORF1ab				pp1a	ORF1ab	"Genbank:YP_009725295.1,GeneID:43740578"	YP_009725295.1	CDS	GU280_gp01	
	leader protein	nsp1	mature_protein_region_of_CDS	266	805	540	id-YP_009725295.1:1..180	nsp1	1	180		cds-YP_009725295.1	ORF1a polyprotein				nsp1; produced by both pp1a and pp1ab			YP_009742608.1	Prot		
	nsp2	nsp2	mature_protein_region_of_CDS	806	2719	1914	id-YP_009724389.1:181..818	nsp2	181	818		cds-YP_009724389.1	ORF1ab polyprotein				produced by both pp1a and pp1ab			YP_009725298.1	Prot		
	nsp2	nsp2	mature_protein_region_of_CDS	806	2719	1914	id-YP_009725295.1:181..818	nsp2	181	818		cds-YP_009725295.1	ORF1a polyprotein				produced by both pp1a and pp1ab			YP_009742609.1	Prot		
	nsp3	nsp3	mature_protein_region_of_CDS	2720	8554	5835	id-YP_009724389.1:819..2763	nsp3	819	2763		cds-YP_009724389.1	ORF1ab polyprotein				"former nsp1; conserved domains are: N-terminal acidic (Ac), predicted phosphoesterase, papain-like proteinase, Y-domain, transmembrane domain 1 (TM1), adenosine diphosphate-ribose 1''-phosphatase (ADRP); produced by both pp1a and pp1ab"			YP_009725299.1	Prot		
	nsp3	nsp3	mature_protein_region_of_CDS	2720	8554	5835	id-YP_009725295.1:819..2763	nsp3	819	2763		cds-YP_009725295.1	ORF1a polyprotein				"former nsp1; conserved domains are: N-terminal acidic (Ac), predicted phosphoesterase, papain-like proteinase, Y-domain, transmembrane domain 1 (TM1), adenosine diphosphate-ribose 1''-phosphatase (ADRP); produced by both pp1a and pp1ab"			YP_009742610.1	Prot		
	nsp4	nsp4	mature_protein_region_of_CDS	8555	10054	1500	id-YP_009724389.1:2764..3263	nsp4	2764	3263		cds-YP_009724389.1	ORF1ab polyprotein				nsp4B_TM; contains transmembrane domain 2 (TM2); produced by both pp1a and pp1ab			YP_009725300.1	Prot		
	nsp4	nsp4	mature_protein_region_of_CDS	8555	10054	1500	id-YP_009725295.1:2764..3263	nsp4	2764	3263		cds-YP_009725295.1	ORF1a polyprotein				nsp4B_TM; contains transmembrane domain 2 (TM2); produced by both pp1a and pp1ab			YP_009742611.1	Prot		
	3C-like proteinase	nsp5	mature_protein_region_of_CDS	10055	10972	918	id-YP_009724389.1:3264..3569	nsp5	3264	3569		cds-YP_009724389.1	ORF1ab polyprotein				"nsp5A_3CLpro and nsp5B_3CLpro; main proteinase (Mpro); mediates cleavages downstream of nsp4. 3D structure of the SARSr-CoV homolog has been determined (Yang et al., 2003); produced by both pp1a and pp1ab"			YP_009725301.1	Prot		
	3C-like proteinase	nsp5	mature_protein_region_of_CDS	10055	10972	918	id-YP_009725295.1:3264..3569	nsp5	3264	3569		cds-YP_009725295.1	ORF1a polyprotein				"nsp5A_3CLpro and nsp5B_3CLpro; main proteinase (Mpro); mediates cleavages downstream of nsp4. 3D structure of the SARSr-CoV homolog has been determined (Yang et al., 2003); produced by both pp1a and pp1ab"			YP_009742612.1	Prot		
	nsp6	nsp6	mature_protein_region_of_CDS	10973	11842	870	id-YP_009724389.1:3570..3859	nsp6	3570	3859		cds-YP_009724389.1	ORF1ab polyprotein				nsp6_TM; putative transmembrane domain; produced by both pp1a and pp1ab			YP_009725302.1	Prot		
	nsp6	nsp6	mature_protein_region_of_CDS	10973	11842	870	id-YP_009725295.1:3570..3859	nsp6	3570	3859		cds-YP_009725295.1	ORF1a polyprotein				nsp6_TM; putative transmembrane domain; produced by both pp1a and pp1ab			YP_009742613.1	Prot		
	nsp7	nsp7	mature_protein_region_of_CDS	11843	12091	249	id-YP_009724389.1:3860..3942	nsp7	3860	3942		cds-YP_009724389.1	ORF1ab polyprotein				produced by both pp1a and pp1ab			YP_009725303.1	Prot		
	nsp7	nsp7	mature_protein_region_of_CDS	11843	12091	249	id-YP_009725295.1:3860..3942	nsp7	3860	3942		cds-YP_009725295.1	ORF1a polyprotein				produced by both pp1a and pp1ab			YP_009742614.1	Prot		
	nsp8	nsp8	mature_protein_region_of_CDS	12092	12685	594	id-YP_009724389.1:3943..4140	nsp8	3943	4140		cds-YP_009724389.1	ORF1ab polyprotein				produced by both pp1a and pp1ab			YP_009725304.1	Prot		
	nsp8	nsp8	mature_protein_region_of_CDS	12092	12685	594	id-YP_009725295.1:3943..4140	nsp8	3943	4140		cds-YP_009725295.1	ORF1a polyprotein				produced by both pp1a and pp1ab			YP_009742615.1	Prot		
	nsp9	nsp9	mature_protein_region_of_CDS	12686	13024	339	id-YP_009724389.1:4141..4253	nsp9	4141	4253		cds-YP_009724389.1	ORF1ab polyprotein				ssRNA-binding protein; produced by both pp1a and pp1ab			YP_009725305.1	Prot		
	nsp9	nsp9	mature_protein_region_of_CDS	12686	13024	339	id-YP_009725295.1:4141..4253	nsp9	4141	4253		cds-YP_009725295.1	ORF1a polyprotein				ssRNA-binding protein; produced by both pp1a and pp1ab			YP_009742616.1	Prot		
	nsp10	nsp10	mature_protein_region_of_CDS	13025	13441	417	id-YP_009724389.1:4254..4392	nsp10	4254	4392		cds-YP_009724389.1	ORF1ab polyprotein				nsp10_CysHis; formerly known as growth-factor-like protein (GFL); produced by both pp1a and pp1ab			YP_009725306.1	Prot		
	nsp10	nsp10	mature_protein_region_of_CDS	13025	13441	417	id-YP_009725295.1:4254..4392	nsp10	4254	4392		cds-YP_009725295.1	ORF1a polyprotein				nsp10_CysHis; formerly known as growth-factor-like protein (GFL); produced by both pp1a and pp1ab			YP_009742617.1	Prot		
	RNA-dependent RNA polymerase	nsp12	mature_protein_region_of_CDS	13442	16236	2795	id-YP_009724389.1:4393..5324	nsp12	4393	5324		cds-YP_009724389.1	ORF1ab polyprotein				nsp12; NiRAN and RdRp; produced by pp1ab only			YP_009725307.1	Prot		
	nsp11	nsp11	mature_protein_region_of_CDS	13442	13480	39	id-YP_009725295.1:4393..4405	nsp11	4393	4405		cds-YP_009725295.1	ORF1a polyprotein				produced by pp1a only			YP_009725312.1	Prot		
			stem_loop	13476	13503	28	id-GU280_gp01	stem_loop						Coronavirus frameshifting stimulation element stem-loop 1	"COORDINATES: profile:Rfam-release-14.1:RF00507,Infernal:1.1.2"			ORF1ab	GeneID:43740578		stem_loop	GU280_gp01	
			stem_loop	13488	13542	55	id-GU280_gp01-2	stem_loop						Coronavirus frameshifting stimulation element stem-loop 2	"COORDINATES: profile:Rfam-release-14.1:RF00507,Infernal:1.1.2"			ORF1ab	GeneID:43740578		stem_loop	GU280_gp01	
	helicase	nsp13	mature_protein_region_of_CDS	16237	18039	1803	id-YP_009724389.1:5325..5925	nsp13	5325	5925		cds-YP_009724389.1	ORF1ab polyprotein				"nsp13_ZBD, nsp13_TB, and nsp_HEL1core; zinc-binding domain (ZD), NTPase/helicase domain (HEL), RNA 5'-triphosphatase; produced by pp1ab only"			YP_009725308.1	Prot		
	3'-to-5' exonuclease	nsp14	mature_protein_region_of_CDS	18040	19620	1581	id-YP_009724389.1:5926..6452	nsp14	5926	6452		cds-YP_009724389.1	ORF1ab polyprotein				nsp14A2_ExoN and nsp14B_NMT; produced by pp1ab only			YP_009725309.1	Prot		
	endoRNAse	nsp15	mature_protein_region_of_CDS	19621	20658	1038	id-YP_009724389.1:6453..6798	nsp15	6453	6798		cds-YP_009724389.1	ORF1ab polyprotein				nsp15-A1 and nsp15B-NendoU; produced by pp1ab only			YP_009725310.1	Prot		
	2'-O-ribose methyltransferase	nsp16	mature_protein_region_of_CDS	20659	21552	894	id-YP_009724389.1:6799..7096	nsp16	6799	7096		cds-YP_009724389.1	ORF1ab polyprotein				nsp16_OMT; 2'-o-MT; produced by pp1ab only			YP_009725311.1	Prot		
S		S	gene	21563	25384	3822	gene-GU280_gp02	S			spike	None						S	GeneID:43740568		Gene	GU280_gp02	protein_coding
YP_009724390.1	surface glycoprotein	surface glycoprotein	CDS	21563	25384	3822	cds-YP_009724390.1	surface glycoprotein				gene-GU280_gp02	S				structural protein; spike protein	S	"Genbank:YP_009724390.1,GeneID:43740568"	YP_009724390.1	CDS	GU280_gp02	
ORF3a		ORF3a	gene	25393	26220	828	gene-GU280_gp03	ORF3a				None						ORF3a	GeneID:43740569		Gene	GU280_gp03	protein_coding
YP_009724391.1	ORF3a protein	ORF3a protein	CDS	25393	26220	828	cds-YP_009724391.1	ORF3a protein				gene-GU280_gp03	ORF3a					ORF3a	"Genbank:YP_009724391.1,GeneID:43740569"	YP_009724391.1	CDS	GU280_gp03	
E		E	gene	26245	26472	228	gene-GU280_gp04	E			envelope	None						E	GeneID:43740570		Gene	GU280_gp04	protein_coding
YP_009724392.1	envelope protein	envelope protein	CDS	26245	26472	228	cds-YP_009724392.1	envelope protein				gene-GU280_gp04	E				ORF4; structural protein; E protein	E	"Genbank:YP_009724392.1,GeneID:43740570"	YP_009724392.1	CDS	GU280_gp04	
M		M	gene	26523	27191	669	gene-GU280_gp05	M			membrane	None						M	GeneID:43740571		Gene	GU280_gp05	protein_coding
YP_009724393.1	membrane glycoprotein	membrane glycoprotein	CDS	26523	27191	669	cds-YP_009724393.1	membrane glycoprotein				gene-GU280_gp05	M				ORF5; structural protein	M	"Genbank:YP_009724393.1,GeneID:43740571"	YP_009724393.1	CDS	GU280_gp05	
ORF6		ORF6	gene	27202	27387	186	gene-GU280_gp06	ORF6				None						ORF6	GeneID:43740572		Gene	GU280_gp06	protein_coding
YP_009724394.1	ORF6 protein	ORF6 protein	CDS	27202	27387	186	cds-YP_009724394.1	ORF6 protein				gene-GU280_gp06	ORF6					ORF6	"Genbank:YP_009724394.1,GeneID:43740572"	YP_009724394.1	CDS	GU280_gp06	
ORF7a		ORF7a	gene	27394	27759	366	gene-GU280_gp07	ORF7a				None						ORF7a	GeneID:43740573		Gene	GU280_gp07	protein_coding
YP_009724395.1	ORF7a protein	ORF7a protein	CDS	27394	27759	366	cds-YP_009724395.1	ORF7a protein				gene-GU280_gp07	ORF7a					ORF7a	"Genbank:YP_009724395.1,GeneID:43740573"	YP_009724395.1	CDS	GU280_gp07	
ORF7b		ORF7b	gene	27756	27887	132	gene-GU280_gp08	ORF7b				None						ORF7b	GeneID:43740574		Gene	GU280_gp08	protein_coding
YP_009725318.1	ORF7b	ORF7b	CDS	27756	27887	132	cds-YP_009725318.1	ORF7b				gene-GU280_gp08	ORF7b					ORF7b	"Genbank:YP_009725318.1,GeneID:43740574"	YP_009725318.1	CDS	GU280_gp08	
ORF8		ORF8	gene	27894	28259	366	gene-GU280_gp09	ORF8				None						ORF8	GeneID:43740577		Gene	GU280_gp09	protein_coding
YP_009724396.1	ORF8 protein	ORF8 protein	CDS	27894	28259	366	cds-YP_009724396.1	ORF8 protein				gene-GU280_gp09	ORF8					ORF8	"Genbank:YP_009724396.1,GeneID:43740577"	YP_009724396.1	CDS	GU280_gp09	
N		N	gene	28274	29533	1260	gene-GU280_gp10	N			nucleocapsid	None						N	GeneID:43740575		Gene	GU280_gp10	protein_coding
YP_009724397.2	nucleocapsid phosphoprotein	nucleocapsid phosphoprotein	CDS	28274	29533	1260	cds-YP_009724397.2	nucleocapsid phosphoprotein				gene-GU280_gp10	N				ORF9; structural protein	N	"Genbank:YP_009724397.2,GeneID:43740575"	YP_009724397.2	CDS	GU280_gp10	
ORF10		ORF10	gene	29558	29674	117	gene-GU280_gp11	ORF10				None						ORF10	GeneID:43740576		Gene	GU280_gp11	protein_coding
YP_009725255.1	ORF10 protein	ORF10 protein	CDS	29558	29674	117	cds-YP_009725255.1	ORF10 protein				gene-GU280_gp11	ORF10					ORF10	"Genbank:YP_009725255.1,GeneID:43740576"	YP_009725255.1	CDS	GU280_gp11	
			stem_loop	29609	29644	36	id-GU280_gp11	stem_loop						Coronavirus 3' UTR pseudoknot stem-loop 1	"COORDINATES: profile::Rfam-release-14.1:RF00165,Infernal:1.1.2"			ORF10	GeneID:43740576		stem_loop	GU280_gp11	
			stem_loop	29629	29657	29	id-GU280_gp11-2	stem_loop						Coronavirus 3' UTR pseudoknot stem-loop 2	"COORDINATES: profile::Rfam-release-14.1:RF00165,Infernal:1.1.2"			ORF10	GeneID:43740576		stem_loop	GU280_gp11	
			three_prime_UTR	29675	29903	229	id-NC_045512.2:29675..29903	three_prime_UTR	29675	29903											3'UTR		
